                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.131,                 1.0312,                 1.2762,                0.64565,                0.57341,                0.67379,                0.41949,                 1.6864,                 2.2649,                 1.8602,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.1698,                0.98501,                 1.2947,                0.63416,                0.57186,                0.69165,                0.43426,                 1.7252,                 2.1806,                 1.8599,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.1193,                0.99496,                 1.2454,                0.58134,                0.59587,                0.68989,                0.43851,                 1.7456,                  2.153,                 1.8951,               0.000467,               0.000467,               0.000467
                     37,                 1.1175,                0.97325,                 1.2688,                0.53638,                0.65856,                0.66165,                0.40899,                 1.8049,                 2.1369,                 1.9311,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1252,                0.96988,                 1.2866,                0.56996,                0.66936,                0.69284,                0.40718,                 1.7837,                 2.0379,                 1.9074,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.0967,                0.95404,                 1.3012,                0.66695,                0.65609,                0.71306,                0.43615,                  1.726,                 2.0491,                 1.8839,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.0662,                0.91446,                 1.2468,                0.82855,                0.57491,                 0.6684,                 0.4346,                 1.6953,                 2.1494,                 1.8662,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.0745,                0.95313,                 1.2262,                0.81741,                0.57955,                0.67209,                0.45384,                 1.6644,                 2.1033,                 1.8365,             0.00032553,             0.00032553,             0.00032553
                     42,                  1.057,                 1.0484,                 1.2807,                0.75933,                0.54761,                0.62346,                0.42901,                  1.644,                 2.2338,                  1.838,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.0321,                0.96335,                 1.2341,                0.68022,                0.53373,                0.59253,                0.39436,                 1.6528,                 2.3803,                 1.8685,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.0514,                0.90186,                 1.2344,                0.65544,                0.55082,                0.58484,                0.41438,                 1.6508,                 2.3738,                 1.8532,             0.00024064,             0.00024064,             0.00024064
                     45,                0.99409,                0.87841,                 1.1676,                0.68936,                0.56611,                0.60103,                0.41135,                 1.6516,                 2.2936,                 1.8286,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0113,                0.90932,                 1.1809,                 0.6832,                0.58647,                0.62022,                0.40792,                 1.6525,                  2.202,                 1.8049,             0.00018406,             0.00018406,             0.00018406
                     47,                0.96581,                0.88567,                 1.1581,                0.69001,                0.63668,                0.64671,                0.42169,                 1.6507,                  2.109,                 1.8043,             0.00015576,             0.00015576,             0.00015576
                     48,                 0.9769,                0.90519,                 1.1706,                 0.6794,                0.63857,                0.65943,                0.43727,                 1.6616,                 2.0609,                  1.812,             0.00012747,             0.00012747,             0.00012747
                     49,                0.97681,                0.86979,                 1.1819,                0.65839,                0.65023,                0.67993,                0.44673,                 1.6668,                  2.016,                 1.8037,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.99038,                0.86249,                 1.2072,                0.67863,                0.64484,                0.69688,                0.45098,                 1.6752,                 1.9816,                 1.7908,             7.0878e-05,             7.0878e-05,             7.0878e-05
